Date,Name of State / UT,Latitude,Longitude,Total Confirmed cases,Cured/Discharged/Migrated,New cases,Death cases,New recovered
30-01-2020,Kerala,10.8505,76.2711,1,0,0,0,0
31-01-2020,Kerala,10.8505,76.2711,1,0,0,0,0
01-02-2020,Kerala,10.8505,76.2711,2,0,1,0,0
02-02-2020,Kerala,10.8505,76.2711,3,0,1,0,0
03-02-2020,Kerala,10.8505,76.2711,3,0,0,0,0
04-02-2020,Kerala,10.8505,76.2711,3,0,0,0,0
05-02-2020,Kerala,10.8505,76.2711,3,0,0,0,0
06-02-2020,Kerala,10.8505,76.2711,3,0,0,0,0
07-02-2020,Kerala,10.8505,76.2711,3,0,0,0,0
08-02-2020,Kerala,10.8505,76.2711,3,0,0,0,0
09-02-2020,Kerala,10.8505,76.2711,3,0,0,0,0
10-02-2020,Kerala,10.8505,76.2711,3,0,0,0,0
11-02-2020,Kerala,10.8505,76.2711,3,0,0,0,0
12-02-2020,Kerala,10.8505,76.2711,3,0,0,0,0
13-02-2020,Kerala,10.8505,76.2711,3,0,0,0,0
14-02-2020,Kerala,10.8505,76.2711,3,0,0,0,0
15-02-2020,Kerala,10.8505,76.2711,3,0,0,0,0
16-02-2020,Kerala,10.8505,76.2711,3,0,0,0,0
17-02-2020,Kerala,10.8505,76.2711,3,0,0,0,0
18-02-2020,Kerala,10.8505,76.2711,3,0,0,0,0
19-02-2020,Kerala,10.8505,76.2711,3,0,0,0,0
20-02-2020,Kerala,10.8505,76.2711,3,0,0,0,0
21-02-2020,Kerala,10.8505,76.2711,3,0,0,0,0
22-02-2020,Kerala,10.8505,76.2711,3,0,0,0,0
23-02-2020,Kerala,10.8505,76.2711,3,0,0,0,0
24-02-2020,Kerala,10.8505,76.2711,3,0,0,0,0
25-02-2020,Kerala,10.8505,76.2711,3,0,0,0,0
26-02-2020,Kerala,10.8505,76.2711,3,0,0,0,0
27-02-2020,Kerala,10.8505,76.2711,3,0,0,0,0
28-02-2020,Kerala,10.8505,76.2711,3,0,0,0,0
29-02-2020,Kerala,10.8505,76.2711,3,0,0,0,0
01-03-2020,Kerala,10.8505,76.2711,3,0,0,0,0
02-03-2020,Delhi,28.7041,77.1025,1,0,0,0,0
02-03-2020,Kerala,10.8505,76.2711,3,0,0,0,0
02-03-2020,Telengana,18.1124,79.0193,1,0,0,0,0
03-03-2020,Delhi,28.7041,77.1025,1,0,0,0,0
03-03-2020,Kerala,10.8505,76.2711,3,3,0,0,3
03-03-2020,Telengana,18.1124,79.0193,1,0,0,0,0
04-03-2020,Delhi,28.7041,77.1025,1,0,0,0,0
04-03-2020,Haryana,29.0588,76.0856,14,0,0,0,0
04-03-2020,Kerala,10.8505,76.2711,3,3,0,0,0
04-03-2020,Rajasthan,27.0238,74.2179,1,0,0,0,0
04-03-2020,Telengana,18.1124,79.0193,1,0,0,0,0
04-03-2020,Uttar Pradesh,26.8467,80.9462,6,0,0,0,0
05-03-2020,Delhi,28.7041,77.1025,2,0,1,0,0
05-03-2020,Haryana,29.0588,76.0856,14,0,0,0,0
05-03-2020,Kerala,10.8505,76.2711,3,3,0,0,0
05-03-2020,Rajasthan,27.0238,74.2179,1,0,0,0,0
05-03-2020,Telengana,18.1124,79.0193,1,0,0,0,0
05-03-2020,Uttar Pradesh,26.8467,80.9462,7,0,1,0,0
06-03-2020,Delhi,28.7041,77.1025,3,0,1,0,0
06-03-2020,Haryana,29.0588,76.0856,14,0,0,0,0
06-03-2020,Kerala,10.8505,76.2711,3,3,0,0,0
06-03-2020,Rajasthan,27.0238,74.2179,1,0,0,0,0
06-03-2020,Telengana,18.1124,79.0193,1,0,0,0,0
06-03-2020,Uttar Pradesh,26.8467,80.9462,7,0,0,0,0
07-03-2020,Delhi,28.7041,77.1025,3,0,0,0,0
07-03-2020,Haryana,29.0588,76.0856,14,0,0,0,0
07-03-2020,Kerala,10.8505,76.2711,3,3,0,0,0
07-03-2020,Rajasthan,27.0238,74.2179,1,0,0,0,0
07-03-2020,Tamil Nadu,11.1271,78.6569,1,0,0,0,0
07-03-2020,Telengana,18.1124,79.0193,1,0,0,0,0
07-03-2020,Union Territory of Ladakh,34.2996,78.2932,2,0,0,0,0
07-03-2020,Uttar Pradesh,26.8467,80.9462,7,0,0,0,0
08-03-2020,Delhi,28.7041,77.1025,3,0,0,0,0
08-03-2020,Haryana,29.0588,76.0856,14,0,0,0,0
08-03-2020,Kerala,10.8505,76.2711,8,3,5,0,0
08-03-2020,Rajasthan,27.0238,74.2179,1,0,0,0,0
08-03-2020,Tamil Nadu,11.1271,78.6569,1,0,0,0,0
08-03-2020,Telengana,18.1124,79.0193,1,0,0,0,0
08-03-2020,Union Territory of Ladakh,34.2996,78.2932,2,0,0,0,0
08-03-2020,Uttar Pradesh,26.8467,80.9462,7,0,0,0,0
09-03-2020,Delhi,28.7041,77.1025,4,0,1,0,0
09-03-2020,Haryana,29.0588,76.0856,14,0,0,0,0
09-03-2020,Karnataka,15.3173,75.7139,1,0,0,0,0
09-03-2020,Kerala,10.8505,76.2711,9,3,1,0,0
